FeatureName,DepositName,SiteName,Region,NGR,East,North,SiteLocation,RelationToNearestSummit,LandscapeZone,ApproxHeight ASL (m),CountrysideCharacterArea2012,LocationType,RelationToLocalSites,SiteDescription,DiameterRoundSites,SiteType,FeatureType,FeatureOrientation,FeatureDimensions,FeatureLength(cm),FeatureWidth(cm),FeatureDepth(cm),FeatureLocation,LocationRelToCentre,FeatureDescription,AssociatedFeatures,TreatmentOfRemains,MaterialsInDeposit,ArrangementOfDeposit,HeadSideFace,MNIWithinDeposit,SexOfIndsWithin Deposit,AgeOfIndsWithinDeposit,OtherSkeletalInformation,AccessionTWAMHumanRemains,BoneAnalysisUsed,ArtefactsInDepositList,ArtefactDescriptions,VesselType,RefinedTypologies,VesselIllustrations,OtherFindIllustrations,DatingOfDeposit,DatingOfHumanRemains,EstimatedDateRange(Fowler2012),PrimaryReferences,DecadeOfExcavation,OtherNotes,Excavator,UsedforFowler2013?,UsedforRitualChanges Analysis?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broomhill kerbed cairn cremation deposit 7,Broomhill kerbed cairn cremation deposit 7,"Broomhill kerbed cairn (Ford, Gw187)",Northumberland,NT965370,396500,637000,On sandstone ridge above Till River valley. Within 1km of Roughtin Linn and Goatscrag,West,Low hills/upland edge,150m,Northumberland Sandstone Hills,Hillside with river view,One of two barrows - there are also other EBA mortuary deposits on Broomridge (see Broomridge 2),"Round cairn. The cairn was 4.8m in diameter, .9m high and is described as having a stone kerb or facade of flat stones",4.8m,Kerbed round cairn,Cremation deposit in inverted urn ,N/a,Not given,?,?,?,Unclear,?,Placement of upright urn on land surface covered by cairn OR as insertion into cairn,"Elsewhere on site there are 6 cremation deposits in urns which were either inserted into the barrow or stood on the land surface when the barrow was erected: Greenwell is unclear about this, but insertions seem probable based on analogy with sites elsewhere. Greenwell refers to these deposits as forming a circle. This deposit, 7, is to the E of and outside of that circle of deposits, but the exact location is uncertain. The cairn was 4.8m in diameter, .9m high and is described as having a stone kerb or facade of flat stones",Cremation,Not recorded,The urn stood upright and the bones were found in the vessel,N/a,not recorded,N/a,N/a,Cremated bones found but no details recorded,N,Excavation report,"""cinerary urn""",,Urn,Not possible,N,N/a,N,N,2000-1500 BC,Greenwell 1877 & Kinnes and Longworth 1985.,1850s,,W Greenwell,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broomhouses cist 1,Broomhouses cist 1,"Broomhouses round barrow (Prudhoe, Ovingham Gw214)",Northumberland,NZ099655,409900,565500,Located on a knoll on the S facing slope of Horsley Hill above the River Tyne,South East,Low hills,90m,Tyne Gap & Hadrian's Wall,Hillside with river view,Isolated,Round barrow? No traces of the barrow Greenwell estimated to exist were found,?,Cist in cemetery or destroyed cairn,Cist,ENE-WNW,"1m by .7m wide, .5m deep",100,70,50,"Greenwell recorded the location of features in relation to one another sequentially, starting with this cist. As no traces of the barrow remained the exact position of the features in relation to it is uncertain",N/a,Cist was cut into the subsoil and oriented East North East-West South West,One of 6 deposits in the vicinity of the putative barrow,"Uncremated burial, ?crouched","""some pieces of charcoal"" were the only contents of the cist. It had three cover stones",Not recorded,?,No bone recovered,N/a,N/a,N/a,N/a,N/a,None,N/a,N/a,N/a,N/a,N/a,N,N/a,?2300-1750?,Greenwell 1877 & Kinnes and Longworth 1985.,1877 reported,,W Greenwell,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broomhouses cist 2,Broomhouses cist 2,"Broomhouses round barrow (Prudhoe, Ovingham Gw214)",Northumberland,NZ099655,409900,565500,Located on a knoll on the S facing slope of Horsley Hill above the River Tyne,South East,Low hills,90m,Tyne Gap & Hadrian's Wall,Hillside with river view,Isolated,Round barrow? No traces of the barrow Greenwell estimated to exist were found,?,Cist in cemetery or destroyed cairn,Cist,ESE-WNW,"1.1m by.8m wide, .4m deep",110,80,40,"The cist was dug into the subsoil: Greenwell comments that the cover slab was .35m below the ""natural surface"". 4.2m from cist 1 (direction not specified)",N/a,"Cist in pit dug into subsoil, covered with barrow. Six side slabs and a cover slab. The cist was paved with small pebbles",One of 6 deposits in the vicinity of the putative barrow,"Uncremated burial, ?crouched",None recorded,Not recorded,?,No bone recovered,N/a,N/a,N/a,N/a,N/a,None,N/a,N/a,N/a,N/a,N/a,N,N/a,?2300-1750?,Greenwell 1877 & Kinnes and Longworth 1985.,1877 reported,,W Greenwell,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broomhouses cist 3,Broomhouses cist 3 cremation deposit,"Broomhouses round barrow (Prudhoe, Ovingham Gw214)",Northumberland,NZ099655,409900,565500,Located on a knoll on the S facing slope of Horsley Hill above the River Tyne,South East,Low hills,90m,Tyne Gap & Hadrian's Wall,Hillside with river view,Isolated,Round barrow? No traces of the barrow Greenwell estimated to exist were found,?,Cist in cemetery or destroyed cairn,Cist,E-W,"Not fully specified, but cist was oriented E-W and 1.2m deep below the ground level",?,?,120,"Cist dug 1.2m below the ground level, located 1.8m SSW of cist 1",N/a,"Cist in pit dug into subsoil, covered with barrow, oriented East-West. Six sides slabs and a cover stone. On top of the cist cover stone lay a flat round whintsone slab, like those above the urns: .56m in diameter",One of 6 deposits in the vicinity of the putative barrow,Cremation ,"A layer of fine sand lay under the bones, .2m thick","The bones were burnt and lain on a bed of sand. No base slab is mentioned, nor is any charcoal",N/a,1 (?),Indet.,Adolescent (?),"Greenwell's phrasing is ""the bones of a young person""",N,Excavation report,None,N/a,N/a,N/a,N/a,N/a,N,N,?2300-1750?,Greenwell 1877 & Kinnes and Longworth 1985.,1877 reported,,W Greenwell,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broomhouses cist 4,Broomhouses cist 4 cremation deposit,"Broomhouses round barrow (Prudhoe, Ovingham Gw214)",Northumberland,NZ099655,409900,565500,Located on a knoll on the S facing slope of Horsley Hill above the River Tyne,South East,Low hills,90m,Tyne Gap & Hadrian's Wall,Hillside with river view,Isolated,Round barrow? No traces of the barrow Greenwell estimated to exist were found,?,Cist in cemetery or destroyed cairn,Cist,?,".7m long (orientation not given), .4m wide, .3m deep",70,40,30,"Cist dug 1.2m below the ground level, located 3m SW of cist 1",N/a,"Cist in pit dug into subsoil, covered with barrow. Four side slabs with one cover stone. The top of the cist was covered with two whinstone boulders",One of 6 deposits in the vicinity of the putative barrow,Cremation ,"The floor of the cist was paved with pebbles.  While burnt bones are decribed, there is no mention of any charcoal",Not recorded,N/a,1 (?),Indet.,Adult,None provided,N,Excavation report,None,N/a,N/a,N/a,N/a,N/a,N,N,?2300-1750?,Greenwell 1877 & Kinnes and Longworth 1985.,1877 reported,,W Greenwell,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broomhouses pit 1,Broomhouses cremation deposit 1,"Broomhouses round barrow (Prudhoe, Ovingham Gw214)",Northumberland,NZ099655,409900,565500,Located on a knoll on the S facing slope of Horsley Hill above the River Tyne,South East,Low hills,90m,Tyne Gap & Hadrian's Wall,Hillside with river view,Isolated,Round barrow? No traces of the barrow Greenwell estimated to exist were found,?,Pit in cemetery or destroyed cairn,Pit,?,Pit was 1.2m deep,?,?,120,2.7m W of cist 1,N/a,Pit containing urn and cremated remains,One of 6 deposits in the vicinity of the putative barrow,Cremation,"The base of the vessel (i.e. the top of the deposit) was covered with a whinstone slab, .6m in diameter, and smaller stones were packed around it","The knife was packed in with the bones, the vessel was inverted with the slab placed above it. Knife does not seem burnt. The vessel is described as filled with bones - no charcoal is mentioned",N/a,1 (?),Indet.,Adult,None provided,N,Excavation report,"Food Vessel, flint knife",Knife is mottled grey flint and appears unburnt,Food Vessel Urn,"Bipartite Food Vessel Urn (with shoulder cavetto zone), Gibson no. 99",Y (in Kinnes and Longworth),Y (in Kinnes and Longworth),N,N,2000-1700 BC,Greenwell 1877 & Kinnes and Longworth 1985.,1877 reported,,W Greenwell,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broomhouses pit 2,Broomhouses cremation deposit 2,"Broomhouses round barrow (Prudhoe, Ovingham Gw214)",Northumberland,NZ099655,409900,565500,Located on a knoll on the S facing slope of Horsley Hill above the River Tyne,South East,Low hills,90m,Tyne Gap & Hadrian's Wall,Hillside with river view,Isolated,Round barrow? No traces of the barrow Greenwell estimated to exist were found,?,Pit in cemetery or destroyed cairn,Pit,?,Pit dimensions not specified,?,?,?,3m NW of cist 1,N/a,Pit containing urn and cremated remains,One of 6 deposits in the vicinity of the putative barrow,Cremation,"The base of the vessel (i.e. the top of the deposit) was covered with a whinstone slab, .45m in diameter","The vessel stood inverted, presumably within  a pit. The vessel is described as filled with bones - no charcoal mentioned",N/a,1 (?),Indet.,Adult,None provided,N,Excavation report,Enlarged Food Vessel Urn ,,Enlarged Food Vessel Urn,"Enlarged or Encrusted Food Vessel Urn, Gibson no. 109",Y (in Kinnes and Longworth),N/a,N,N,2000-1700 BC,Greenwell 1877 & Kinnes and Longworth 1985.,1877 reported,,W Greenwell,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broomridge 2 cremation deposit ,Broomridge 2 cremation deposit ,Broomridge 2 (GwUn15),Northumberland,NT9437,394000,637000,Judging by site name the true location is more likely to be NZ1056 on Broomridge: a sandstone ridge above Till River valley. Within 1km of Roughtin Linn and Goatscrag,?,Low hills/upland edge,150m,Northumberland Sandstone Hills,?,?,?,?,?,Pit or hollow,?,Not given,?,?,?,Not given,?,Not given: pit or hollow,"There is no record of any barrow in Greenwell 1877, but Kinnes and Longworth report that the feature was located by Captain Carpenter's excavation at a barrow in 1852. Height of barrow .3m, no diameter recorded. However, Greenwell's account does not make it clear that the two sets of finds even come from the same site",Cremation,Hollow is described as lined with clay,"The large urn contained the smaller one, which held the bones. The large urn stood upright in the feature, the smaller one was inverted over the top of the cremated remains",N/a,not recorded,N/a,N/a,Cremated bone was clearly present but the details were not recorded,N,Excavation report,"Collared Urn, small collared vessel ",The smaller vessel is straight-sided and flat based - Gibson lists as a bipartite Food Vessel,"Collared Urn, Miniature Collared Urn/Vase Food Vessel",Collared Urn (Gibson n133); Bipartite Minature Vase Food Vessel (Gibson n18),Y (in Kinnes and Longworth),N/a,N,N,2000-1500 BC,Greenwell 1877 & Kinnes and Longworth 1985.,1850s,,Carpenter (reported in Greenwell 1877),Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broomridge 2a cremation deposit,Broomridge 2a cremation deposit,Broomridge 2 (GwUn15),Northumberland,NT9437,394000,637000,Judging by site name the true location is more likely to be NZ1056 on Broomridge: a sandstone ridge above Till River valley. Within 1km of Roughtin Linn and Goatscrag,?,Low hills/upland edge,150m,Northumberland Sandstone Hills,?,?,?,?,?,?,?,Not given,?,?,?,Not given,?,Not given,"There is no record of any barrow in Greenwell 1877, but Kinnes and Longworth report that the feature was located by Captain Carpenter's excavation at a barrow in 1852. Height of barrow .3m, no diameter recorded. However, Greenwell's account does not make it clear that the two sets of finds even come from the same site",Cremation ,Unknown,Unknown,N/a,not recorded,N/a,N/a,Cremated bone was clearly present but the details were not recorded,N,Excavation report,Accessory vessel,,Accessory Vessel,Not possible,N,N/a,N/a,N,2000-1500 BC,Greenwell 1877 & Kinnes and Longworth 1985.,1850s,Details only available from footnote in Greenwell 1877,Carpenter (reported in Greenwell 1877),Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burgh Hill cairn 1 cist,Burgh Hill cairn 1 cist,"Burgh Hill 1 (Gw208, Rothbury)",Northumberland,NU023005,402300,600500,"On northern spur of Simonside, on sloping hillside ground",North,Upland,210m,Northumberland Sandstone Hills,Hillside near to stream & hillside with river view,"One of several cairns, two of which Greenwell excavated","Round cairn, 10m diameter, 1.5m high",10m,Round cairn,Cist,E-W,"1.1m by .5m wide, .7m deep",110,50,70,"Central to cairn, built on old land surface",Centre,"Cist oriented East-West (Kinnes and Longworth list North-South, but Greenwell says ""lying almost due east and west, the only variation from that direction being north to south."") and built upstanding on land surface within cairn",None located,"Uncremated burial, ?crouched",The cist had four side slabs and a cover lab. No stone flooring. The cist was devoid of contents: no soil matrix is described,Not recorded,?,No bone recovered,N/a,N/a,None,N/a,N/a,None,N/a,N/a,N/a,N,N,N,N/a,?2300-1750?,Greenwell 1877 & Kinnes and Longworth 1985.,1877 reported,,W Greenwell,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burgh Hill cairn 2 cist,Burgh Hill cairn 2 cist,"Burgh Hill 2 (Gw209, Rothbury)",Northumberland,NU0200,402000,600000,"On northern spur of Simonside, on sloping hillside ground",North,Upland ,210m,Northumberland Sandstone Hills,Hillside near to stream & hillside with river view,"One of several cairns, two of which Greenwell excavated","Round cairn, Cairn 8m diameter, 1.2m high",8m,Round cairn,Cist,ENE-WSW,".8m by .5m wide, .5m deep",80,50,50,"Central to cairn, built on old land surface. Cairn 8m diameter, 1.2m high",Centre,"Cist oriented East North East-West South West, built standing on the land surface. The cist had four side slabs and a cover lab. A flat stone lay on top of the cist cover. No stone flooring",None located,"Uncremated burial, ?crouched",The cist was filled with a fine sand which contained some charcoal,Not recorded,?,No bone recovered,N/a,N/a,None,N/a,N/a,"2 sherds of pottery (no details, lost)",,N/a,Not possible,N,N,N,N/a,?2300-1750?,Greenwell 1877 & Kinnes and Longworth 1985.,1877 reported,,W Greenwell,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carham cist,Carham,"Carham, Howburn (GwUn30)",Northumberland,NT821357,382100,635700,"On long ridge between two streams, low hills",North,Low hills,60m,Cheviot Fringe,Hillside near to stream,Isolated,Cist,No mound recorded,Solo cist,Cist,?,Unknown,?,?,?,Unknown,N/a,Unknown,Unknown,Uncremated remains,Unknown,Unknown,?,No bone recovered,N/a,N/a,None,N/a,N/a,Food Vessel,,Vase Food Vessel,"Bipartite Vase Food Vessel (with all over whipped cord maggot impressions), Gibson no. 29 (listed as Howburn)",Y (in Kinnes and Longworth),N/a,N,N/a,2150-1750 BC,Kinnes & Longworth 1985.,Unknown,,Greenwell? Information from Kinnes and Longworth 1985,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cartington chamber,Cartington log burial,"Cartington Farm, Rothbury (the Cartington Coffin)",Northumberland,NU0305,403000,605000,"650'ASL, on 'eminence' but not at summit of ridge with ""an extensive view of Coquetdale"", close to head of stream. Based on the description, possibly in next 1km grid square to the E",East,Upland,200m,Northumberland Sandstone Hills,Hillside near to stream,Isolated,Subterraneaen stone vault or chamber,No mound recorded,Stone vault,Stone vault,E-W,Not given,?,?,?,Cut into soil on natural eminence,N/a,The vault consisted of rows of two side stones and third wedged as a keystone between them. The dimensions are not recorded but the orientation is East-West,"A large and unmarked block of sandstone is reported next to the site, but no other remains could be located","Uncremated burial, ?crouched","Coffin was formed from split and hollowed out oak log. Coffin dimensions: 1.7m long (exterior) East-West, 1.2m interior length, by c.5m interior width. The coffin was found closed. The body was lain on a bed of bracken and possibly wrapped in soft animal skin","At the E end of the coffin was a ledge in the wood, which excavators refer to as a 'pillow' and it was 'near' this where the teeth were found. The excavators consider, partly from the placement of the teeth and partly from a 'cast' of the bend in the knees left in the clay which had seeped into the coffin that the body lay on its left side, with the head on the ledge to the E. Given the interpretation of a crouched burial this would mean the head faced to the S, though an extended body position should not be ruled out. The location of the ""fragments of skin, probably kid or calf as the hair was not bristly"" is not explicit, but Dixon (1913, 82) notes ""It is evident that a layer of bracken (pteris aquilina) had been strewn in the bottom of the coffin, on which the body would be laid, clad in a skin garment, for fragments of skin showing the thin stitching, and portions of the fronds of the common bracken were found amongst the clay.""",ELS,1,Indet.,Indet.,Only the enamel of three teeth survived,Not located in GNM,Excavation report,"Beaker sherds, piece of calfskin or kidskin with stitchmarks, flint scraper",,Beaker,"Fragments, now lost",N (lost),log coffin,"3790 + 65 bp (2340-2060 cal BC) [GU-1648] from log coffin. Dating 1980s, reported by Jobey 1984.",N,2340-2060 BC,"Dixon, D.D. 1913. Donations to the Museum: Cartington Oak Coffin, etc. Archaeologia Aeliana (3rd Series) 6, 79-84 & Jobey, G. 1984. The Cartington Coffin: A Radiocarbon Date. Archaeologia Aeliana (5th series) 12, 235-7.",1910s,,D Dixon,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catcherside cairn cremation 2,Catcherside cairn cremation 2,"Catcherside, Kirk Whelpington (Gw211)",Northumberland,NY992877,399200,587700,"Northerly slopes of hill shelf, ridge between two streams",North East,Upland,240m,Northumberland Sandstone Hills,Hillside near to stream,Isolated,Cairn 9m in diameter and .5m high. Cairn had been robbed for stone,9m,Round cairn,Cremation deposit within inverted urn,?,Not known,?,?,?,1.5 NE of centre of cairn,North East,"Urn inverted on land surface, flat stones resting on the sides of the urn. Greenwell specifies that the urn rested on the land surface, and does not discuss whether or not the urn should be seen as intrusive",One of 2 cremation deposits within the cairn,Cremation ,Three flat stones were stood around the urn and leant on it,"Urn inverted on land surface, flat stones resting on the sides of the urn",N/a,Indet.,Indet.,Indet.,"Bones described as ""reduced to a very small quantity, having been subjected to a severe and long-continued action of fire""",N,Excavation report,"""Cinerary urn"" in very decayed condition",,Urn,Not possible,N,N/a,N,N,?2000-1500?,Greenwell 1877 & Kinnes and Longworth 1985.,1877 reported,,W Greenwell,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catcherside cairn pit 1,Catcherside cairn cremation 1,"Catcherside, Kirk Whelpington (Gw211)",Northumberland,NY992877,399200,587700,"Northerly slopes of hill shelf, ridge between two streams",North East,Upland,240m,Northumberland Sandstone Hills,Hillside near to stream,Isolated,Cairn 9m in diameter and .5m high. Cairn had been robbed for stone,9m,Round cairn,Pit,N/a,.3m diameter.35m deep,30,30,35,"2.7m E of the centre of the cairn, placed in pit dug through the cairn",East,"Pit containing urn and cremated remains. Since Greenwell says ""in a hollow sunk 14in. below the surface"" and had previously been describing the cairn, I have taken this to indicate the feature was cut into the cairn, not into the land surface under the cairn and then covered by it. ",One of 2 cremation deposits within the cairn,Cremation,No details given,"The urn is described as inverted and covered with a flat slab (the description indicates that the base of the urn was covered with the slab, not the mouth)",N/a,Indet.,Indet.,Indet.,"Bones described as ""reduced to a very small quantity, having been subjected to a severe and long-continued action of fire""",N,Excavation report,Enlarged Food Vessel Urn ,,Enlarged Food Vessel Urn,"Bipartite Enlarged Food Vessel Urn, Gibson no. 86",Y (in Kinnes and Longworth),N/a,N,N,2000-1700 BC,Greenwell 1877 & Kinnes and Longworth 1985.,1877 reported,,W Greenwell,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chatton barrow 1 cist,Chatton barrow 1 cist,Chatton (Gw190),Northumberland,NU0228,402000,628000,Unknown,North East,Hillside,125-150m,Northumberland Sandstone Hills,Hillside near to stream,"One of at least 6 cairns, near area of cup and ring marked rock panels",Round barrow. The cairn was 4.5m in diameter and .8m high and composed of sandy soil,4.5m,Round barrow,Cist,NE-SW,".9m NE-SW, .8m wide, .5m deep",90,80,50,"At centre of barrow, and built standing on the land surface",Centre,"Cist oriented North East-South West, built standing on the land surface under the barrow",None,"Uncremated burial, ?crouched",Cist was filled with fine white sand,Unknown,?,No bone recovered,N/a,N/a,N/a,N/a,N/a,None,N/a,N/a,N/a,N/a,N/a,N,N/a,?2300-1750 BC?,Greenwell 1877 & Kinnes and Longworth 1985.,1877 reported,"Barrow had been previously disturbed, but cist seemed to be intact",W Greenwell,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chatton barrow 2 cist,Chatton barrow 2 cist cremation deposit,Chatton (Gw191),Northumberland,NU0228,402000,628000,Unknown,North East,Hillside,125-150m,Northumberland Sandstone Hills,Hillside near to stream,"One of at least 6 cairns, near area of cup and ring marked rock panels","Round cairn. The cairn was 4.8m diameter, .9m high, consisting of a mixture of earth and stones",4.8m,Round cairn,Cist,?,Not given,?,?,?,"At centre of cairn, and built standing on the land surface",Centre,"Cist oriented East-West, built on the land surface and covered with the barrow",None,Cremation ,No information on the fill. The cist comprised of five side slabs and a cover,Unknown,N/a,not recorded,Indet.,Indet.,Cremated bones found scattered throughout cist,N,Excavation report,None,N/a,N/a,N/a,N/a,N/a,N,N,2100-1750 BC,Greenwell 1877 & Kinnes and Longworth 1985.,1877 reported,Cairn and cist had been previously disturbed,W Greenwell,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chatton barrow 3 cist,Chatton barrow 3 cist cremation deposit,Chatton (Gw192),Northumberland,NU0228,402000,628000,Unknown,North East,Hillside,125-150m,Northumberland Sandstone Hills,Hillside near to stream,"One of at least 6 cairns, near area of cup and ring marked rock panels","Round barrow with stone cap. The mound was 2.4m in diameter and .3m high, the cap is described as ""a few stones placed upon the top"" (Greenwell 1877: 412)",2.4m,Round barrow,Cist,N/a,.35m by .35m by .25m deep,35,35,25,"At centre of cairn, built within pit into the subsoil under the cairn",Centre,"Cist in pit cut into subsoil under barrow. Cist had two cover slabs, but nature of floor is not specified",None,Cremation,".1m of sand at base of fill, then ""earth and small water-rolled pebbles"" among which the bones were found",Bones strewn among the pebbles and earth,N/a,1,Indet.,"Adult (""in middle life"")",Cremated,N,Excavation report,Burnt and broken retouched flint flake (described by Greenwell as an arrowhead),,N/a,Not possible,N/a,N/a,N,N,2100-1750 BC,Greenwell 1877 & Kinnes and Longworth 1985.,1877 reported,,W Greenwell,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chatton Sandyford cairn 1 cremation deposit 1,Chatton Sandyford cairn 1 cremation deposit 1,Chatton Sandyford/ Sandyford Moor,Northumberland,NU10032669,410035,626693,Open moorland,North East,Upland,215m,Northumberland Sandstone Hills,Upland near to stream,Large cairn cemetery,"Kerbed ring cairn. Stone ring and kerb with flat façade c. 1.25m thick, composed of sandstone blocks. Exterior of cairn 10m in diameter",10m,Kerbed ring cairn,Cremation deposit in inverted urn on ground,N/a,.25m below slipped cairn surface,?,?,25,.65m in from the S internal perimeter of kerbed cairn,South,Placement of inverted urn on ground enclosed by ring cairn. Deposit covered by displaced sandstone cairn material,"Standing stone (limestone) with natural cupmarks immediately N of deposit. Cremation pyre site possibly located to S of cairn. There are three pits which may have contained mortuary deposits within the enclosed area, and one other cremation deposit",Cremation,Charcoal with bones. ,Cremated bones within inverted urn,N/a,Indet.,Indet.,Indet.,Small amount of fragmented remains only,N,Excavation report,Food Vessel ,,Food Vessel Urn,"Bipartite Food Vessel Urn (with shoulder cavetto zone), Gibson no. 96",Y,N/a,N,N,2000-1700 BC,"Jobey, G. 1968. Excavations of Cairns at Chatton Sandyford, Northumberland. Archaeologia Aeliana (4th Series) 46, 5-50.",1960s,,G Jobey,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chatton Sandyford cairn 1 cremation deposit 2,Chatton Sandyford cairn 1 cremation deposit 2,Chatton Sandyford/ Sandyford Moor,Northumberland,NU10032669,410000,626000,Open moorland,North East,Upland,215m,Northumberland Sandstone Hills,Upland near to stream,Large cairn cemetery,"Kerbed ring cairn. Stone ring and kerb with flat façade c. 1.25m thick, composed of sandstone blocks. Exterior of cairn 10m in diameter",10m,Kerbed ring cairn,"Spread of cremated bone placed on ground within enclosed area, possibly in organic container",N/a,Not given,?,?,?,.5m within W internal perimeter of kerbed cairn,West,"Placement of cremated bone on land surface, covered by slipped cairn material","Cremation pyre site possibly located to S of cairn. There are three pits which may have contained mortuary deposits within the enclosed area, and one other cremation deposit",Cremation,Charcoal with bones. Deposit within sandstone cairn material,Clustering of bones in a 'globular' shape may indicate an organic container,N/a,Indet.,Indet.,Indet.,Small amount of fragmented remains only,N,Excavation report,None (possible bag),N/a,N/a,N/a,N/a,N/a,N,N,?2000-1500?,"Jobey, G. 1968. Excavations of Cairns at Chatton Sandyford, Northumberland. Archaeologia Aeliana (4th Series) 46, 5-50.",1960s,,G Jobey,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chatton Sandyford cairn 1 grave 1,Chatton Sandyford cairn 1 grave 1,Chatton Sandyford/ Sandyford Moor,Northumberland,NU10032669,410000,626000,Open moorland,North East,Upland,215m,Northumberland Sandstone Hills,Upland near to stream,Large cairn cemetery,"Kerbed ring cairn. Stone ring and kerb with flat façade c. 1.25m thick, composed of sandstone blocks. Exterior of cairn 10m in diameter",10m,Kerbed ring cairn,Oval grave pit,N-S,1.5m by 1.3m by.26m deep,150,130,26,At centre of space enclosed by kerbed ring cairn,Centre,"Oval pit oriented North-South, possibly a grave pit","Four oak stakes were burnt at centre of cairn prior to grave being dug. Charcoal c14 date from one of these. There was a stone immediately to the N of the pit which may have been a grave marker. 2 v-perforated buttons were found .2m to the S of the pit, apparently displaced by an earlier unrecorded excavation. 2100-1900 BC (GaK 800). Sample taken from material which sounds to be a bulk combination of ""the interiors of three of the stakeholes"". This feature probably the earliest on the site, predating the construction of the ring cairn - there are two other pits which may have contained mortuary deposits within the enclosed area, and two cremation deposits.",Uncremated remains,Some charcoal,Grave was possibly covered with stones (some of which were found in material of pit 2),?,No bone recovered,N/a,N/a,N/a,N/a,N/a,Beaker. 2 v-bored jet buttons were found immediately outside the southern perimeter of the pit,"Beaker S-shaped profile, bands subdividing neck and body, with zig-zag motifs across body in ordered fashion. This vessel is in Needham's typology 2005: 199. Dates to after the date cited earlier, so post 2100-1900 BC, I.e. a late Beaker ",Beaker,"GSP, N/NR. Jet buttons are Shepherd type 1 and 2. ",Y,N/a,"3620+-50 BP (2100-1900 cal BC) (GaK 800). Sample taken from material which sounds to be a bulk combination of ""the interiors of three of the stakeholes""  -associated date only. ",N/a,2100-1900 BC,"Jobey, G. 1968. Excavations of Cairns at Chatton Sandyford, Northumberland. Archaeologia Aeliana (4th Series) 46, 5-50.",1960s,Robbed out,G Jobey,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chatton Sandyford cairn 1 grave 2,Chatton Sandyford cairn 1 grave 2,Chatton Sandyford/ Sandyford Moor,Northumberland,NU10032669,410000,626000,Open moorland,North East,Upland,215m,Northumberland Sandstone Hills,Upland near to stream,Large cairn cemetery,"Kerbed ring cairn. Stone ring and kerb with flat façade c. 1.25m thick, composed of sandstone blocks. Exterior of cairn 10m in diameter",10m,Kerbed ring cairn,Circular pit,N/a,"2m diameter, by 1.5m deep",200,200,150,W from centre of space enclosed by kerbed ring cairn,West,"Circular pit, possibly a grave pit","Stratigraphically later than stakes and pit 1. Probably immediately followed by main cairn construction. There are two other pits which may have contained mortuary deposits within the enclosed area, and two cremation deposits.",Uncremated remains,Some fragments of limestone and sandstone rounded stones,Beaker located at N of pit,?,No bone recovered,N/a,N/a,N/a,N/a,N/a,Beaker ,"S-shaped profile, bands subdividing neck and body, with zig-zag motifs across body in ordered fashion",Beaker,"GSP, N/NR",Y,N/a,N,N/a,2100-1900 BC,"Jobey, G. 1968. Excavations of Cairns at Chatton Sandyford, Northumberland. Archaeologia Aeliana (4th Series) 46, 5-50.",1960s,Pit dug and backfilled quickly,G Jobey,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
